,stt,ship name,eta,cont num,seal num,etd,cont 20',cont 40',xuat/nhap,product name,weight (tons),time,dc nang cont,dc ha cont,customer name,cs,vendor,contract num, charge , ps 1 , ps 2 , ps 3 , ps 4 , ps 5 , invoice 
0,1,MVN-0675,2023-06-30,SEKU5589089,0,2023-07-01,0.0,1,NHAP,Thiet Bi Y Te,23,0 days 07:00:00,CANG BEN NGHE,CANG TAN THUAN,GND,QUYNH,HAFT,0.0," 1,958,000 ",0,0,0.0,0.0,0.0," 1,958,000 "
1,2,MVN-0675,2023-06-30,TCNU4233428,28756929,2023-07-01,0.0,1,NHAP,Mi Tom,17,0 days 13:00:00,CANG BEN NGHE,CANG TAN THUAN,GND,QUYNH,HAFT,0.0," 2,314,000 ",0,0,0.0,0.0,0.0," 2,314,000 "
2,3,MVN-0675,2023-06-30,GAOU6102470,28851627,2023-07-01,0.0,1,NHAP,Mi Tom,17,0 days 13:00:00,CANG BEN NGHE,CANG TAN THUAN,GND,QUYNH,HAFT,0.0," 2,314,000 ",0,0,0.0,0.0,0.0," 2,314,000 "
3,4,MVN-0675,2023-06-30,TCLU8931055,28836502,2023-07-01,0.0,1,NHAP,Vai Vun,17,0 days 07:00:00,CANG BEN NGHE,CANG TAN THUAN,GND,QUYNH,HAFT,0.0," 2,746,000 ",0,0,0.0,0.0,0.0," 2,746,000 "
4,5,MVN-0675,2023-06-30,DRYU9705334,386626,2023-07-01,0.0,1,NHAP,Vai,28,0 days 07:00:00,CANG BEN NGHE,CANG TAN THUAN,GND,HIEN,HAFT,0.0," 2,746,000 ",0,0,0.0,0.0,0.0," 2,746,000 "
5,6,V28-0600,2023-07-04,DFSU7361713,VMC117583,2023-07-01,0.0,1,XUAT,Linh Kien,24,0 days 08:00:00,DEPOT VINAFCO,CANG LOTUS,GND,QUYNH,HAFT,0.0," 3,082,000 ",0,0,0.0,0.0,0.0," 3,082,000 "
6,7,V28-0600,2023-07-04,DRYU9678033,748114,2023-07-01,0.0,1,XUAT,Si Nhom,28,0 days 08:00:00,DEPOT VINAFCO,CANG LOTUS,GND,HIEN,HAFT,0.0," 8,698,000 ",0,0,0.0,0.0,0.0," 8,698,000 "
7,8,MVN-0675,2023-06-29,SEKU6304600,0,2023-07-03,0.0,1,NHAP,Thiet Bi Y Te,23 TAN,0 days 07:00:00,CANG BEN NGHE,CANG TAN THUAN,GND,QUYNH,HAFT,0.0," 2,179,000 ",0,0,0.0,0.0,0.0," 2,179,000 "
8,9,MVN-0675,2023-06-30,DRYU9704831,386625,2023-07-03,0.0,1,NHAP,Mi Tom,17,0 days 13:00:00,CANG BEN NGHE,TRA - DONG KET HOP,GND,QUYNH,HAFT,0.0," 2,314,000 ",0,0,0.0,0.0,0.0," 2,314,000 "
9,10,MVN-0675,2023-06-30,TCLU8930552,28783188,2023-07-03,0.0,1,NHAP,Mi Tom,17,0 days 13:00:00,CANG BEN NGHE,CANG TAN THUAN,GND,QUYNH,HAFT,0.0," 2,314,000 ",0,0,0.0,0.0,0.0," 2,314,000 "
10,11,MVN-0675,2023-06-30,TCNU6515225,386628,2023-07-03,0.0,1,NHAP,Vai Vun,16,0 days 07:00:00,CANG BEN NGHE,CANG TAN THUAN,GND,QUYNH,HAFT,0.0," 2,746,000 ",0,0,0.0,0.0,0.0," 2,746,000 "
11,12,V28-0599,2023-07-02,FCIU7549498,6610,2023-07-04,0.0,1,NHAP,Noi That,28,0 days 07:00:00,CANG LOTUS,TRA - DONG KET HOP,GND,QUYNH,HAFT,0.0," 3,158,000 ",0,0,0.0,0.0,0.0," 3,158,000 "
12,13,V28-0599,2023-07-02,DRYU9677593,735933,2023-07-04,0.0,1,NHAP,Vai Vun,17,0 days 06:00:00,CANG LOTUS,TRA - DONG KET HOP,GND,QUYNH,HAFT,0.0," 2,746,000 ",0,0,0.0,0.0,0.0," 2,746,000 "
13,14,V28-0599,2023-07-02,DRYU9703943,0,2023-07-04,0.0,1,NHAP,Gia Dung,15,0 days 07:00:00,CANG LOTUS,CANG BEN NGHE,GND,HIEN,HAFT,0.0," 2,179,000 ",0,0,0.0,0.0,0.0," 2,179,000 "
14,15,V28-0599,2023-07-02,DRYU9677130,0,2023-07-04,0.0,1,NHAP,Sua,SUA,0 days 06:00:00,CANG LOTUS,TRA - DONG KET HOP TAI CHO,GND,OANH,HAFT,0.0," 2,314,000 ",0,0,0.0,0.0,0.0," 2,314,000 "
15,16,V28-0599,2023-07-02,DRYU9678389,BA44975,2023-07-04,0.0,1,NHAP,Gom Su,0,0 days 08:00:00,CANG LOTUS,TRA - DONG KET HOP,TRANSIN HAN,TU,HAFT,0.0," 2,362,000 ",0,0,0.0,0.0,0.0," 2,362,000 "
16,17,V26-0758,2023-07-06,FCIU7549498,VSICO19226595,2023-07-04,0.0,1,XUAT,Nuoc Ngot,28,0 days 13:00:00,DONG KET HOP,CANG TAN THUAN,GND,NGUYEN,HAFT,0.0," 1,458,100 ",0,0,0.0,0.0,0.0," 1,458,100 "
17,18,V26-0758,2023-07-06,DRYU9704831,0,2023-07-04,0.0,1,XUAT,Phe Nhom,28,0 days 08:00:00,DONG KET HOP,CANG TAN THUAN,GND,HIEN,HAFT,0.0," 4,896,000 ",0,0,0.0,0.0,0.0," 4,896,000 "
18,19,V26-0758,2023-07-06,DRYU9677130,0,2023-07-04,0.0,1,XUAT,Sua,29,0 days 09:00:00,DONG KET HOP TAI CHO,CANG TAN THUAN,GND,OANH,HAFT,0.0," 1,157,000 ",0,0,0.0,0.0,0.0," 1,157,000 "
19,20,V26-0758,2023-07-06,DRYU9677593,0,2023-07-04,0.0,1,XUAT,Sua,29,0 days 10:00:00,DONG KET HOP,CANG TAN THUAN,GND,OANH,HAFT,0.0," 2,314,000 ",0,0,0.0,0.0,0.0," 2,314,000 "
20,21,V26-0758,2023-07-06,DRYU9678389,0,2023-07-04,0.0,1,XUAT,Sua,29,0 days 14:00:00,DONG KET HOP,CANG TAN THUAN,GND,OANH,HAFT,0.0," 1,619,800 ",0,0,0.0,0.0,0.0," 1,619,800 "
